iter	Passed	Remaining
0	6	603
1	12	589
2	13	442
3	15	379
4	17	335
5	19	297
6	22	299
7	24	280
8	25	262
9	27	248
10	29	235
11	30	221
12	31	208
13	32	197
14	34	195
15	36	192
16	38	189
17	40	185
18	42	179
19	43	175
20	45	172
21	47	169
22	48	163
23	49	157
24	50	152
25	52	149
26	53	144
27	54	140
28	55	136
29	56	132
30	58	129
31	59	125
32	60	122
33	61	119
34	62	115
35	63	113
36	65	110
37	66	107
38	67	105
39	68	102
40	69	100
41	70	97
42	71	94
43	72	92
44	73	89
45	74	87
46	75	85
47	77	83
48	78	82
49	80	80
50	81	78
51	83	76
52	84	74
53	85	72
54	86	70
55	87	68
56	88	67
57	90	65
58	91	63
59	92	61
60	94	60
61	95	58
62	96	56
63	97	54
64	98	53
65	100	51
66	101	50
67	103	48
68	104	46
69	105	45
70	106	43
71	108	42
72	109	40
73	110	38
74	111	37
75	113	35
76	114	34
77	115	32
78	117	31
79	118	29
80	120	28
81	121	26
82	122	25
83	123	23
84	125	22
85	127	20
86	128	19
87	129	17
88	130	16
89	132	14
90	133	13
91	134	11
92	135	10
93	136	8
94	138	7
95	139	5
96	140	4
97	141	2
98	142	1
99	143	0
